id,email,hashed_password,name,gender,phone,is_active,is_verified,created_at,update_at
1b899729-5a12-4e22-b247-7c9aa5815f9e,visiter01@gmail.com,7e071fd9b023ed8f18458a73613a0834f6220bd5cc50357ba3493c6040a9ea8c,陳冠宇,male,0987654321,t,f,2026-08-17 17:42:00,2026-08-17 17:42:00
4c6e9d2e-4a7d-42d8-9fd0-18c9dc9a9fe7,visiter02@gmail.com,7e071fd9b023ed8f18458a73613a0834f6220bd5cc50357ba3493c6040a9ea8c,林建宏,male,0921548900,t,f,2026-08-17 17:42:00,2026-08-17 17:42:00
e10802c3-1c8b-4c64-ab4e-a905ef249095,visiter03@gmail.com,7e071fd9b023ed8f18458a73613a0834f6220bd5cc50357ba3493c6040a9ea8c,張家豪,male,0955443479,t,t,2026-08-17 17:42:00,2026-08-17 17:42:00
0a57bb5b-1aa6-47d9-88ee-02bec9a5ed25,visiter04@gmail.com,7e071fd9b023ed8f18458a73613a0834f6220bd5cc50357ba3493c6040a9ea8c,黃柏翰,male,0989338058,f,f,2026-08-17 17:42:00,2026-08-17 17:42:00
3f2abb3d-bd20-4d29-a1fd-7237a1a44e5a,visiter05@gmail.com,7e071fd9b023ed8f18458a73613a0834f6220bd5cc50357ba3493c6040a9ea8c,賴廷宇,male,0923232637,t,t,2026-08-17 17:42:00,2026-08-17 17:42:00
7d263945-6a0c-4736-8c3d-cd1f154d66dd,visiter06@gmail.com,7e071fd9b023ed8f18458a73613a0834f6220bd5cc50357ba3493c6040a9ea8c,陳婷婷,female,0957127216,t,t,2026-08-17 17:42:00,2026-08-17 17:42:00
44877665-3b7c-467f-b660-fbae80756b9f,visiter07@gmail.com,7e071fd9b023ed8f18458a73613a0834f6220bd5cc50357ba3493c6040a9ea8c,林雅婷,female,0991021795,t,f,2026-08-17 17:42:00,2026-08-17 17:42:00
ca01ed98-e13a-4d01-ae47-142329c61bed,visiter08@gmail.com,7e071fd9b023ed8f18458a73613a0834f6220bd5cc50357ba3493c6040a9ea8c,張美玲,female,0924916374,t,t,2026-08-17 17:42:00,2026-08-17 17:42:00
d2d0f306-3edb-473c-a76b-b3c79fc3fc2c,visiter09@gmail.com,7e071fd9b023ed8f18458a73613a0834f6220bd5cc50357ba3493c6040a9ea8c,黃詩婷,female,0958810953,f,f,2026-08-17 17:42:00,2026-08-17 17:42:00
f2488701-b123-4a25-9832-cfa42bb82144,visiter10@gmail.com,7e071fd9b023ed8f18458a73613a0834f6220bd5cc50357ba3493c6040a9ea8c,李安安,other,0992705532,t,t,2026-08-17 17:42:00,2026-08-17 17:42:00
